,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
10,Jonathan Bamba,ci CIV,FW,28-228,,6,477.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.6,19.0,21.0,39.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.3,Matches,Celta-Vigo,7.0
11,Javi Rodríguez,es ESP,DF,21-136,,5,603.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,9.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches,Celta-Vigo,11.0
12,Damián Rodríguez,es ESP,MF,21-237,,5,556.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,2.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.08,Matches,Celta-Vigo,10.0
13,Williot Swedberg,se SWE,"FW,MF",20-282,,5,476.0,5.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.9,2.9,0.8,3.8,12.0,11.0,40.0,0.38,0.38,0.76,0.38,0.76,0.55,0.16,0.71,0.55,0.71,Matches,Celta-Vigo,11.0
14,Jailson Siqueira,br BRA,"DF,MF",29-063,,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Celta-Vigo,6.0
15,Ilaix Moriba,gn GUI,MF,21-295,,5,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.4,0.6,6.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches,Celta-Vigo,9.0
16,Anastasios Douvikas,gr GRE,FW,25-099,,4,460.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,4.0,4.0,32.0,0.39,0.0,0.39,0.39,0.39,0.59,0.0,0.59,0.59,0.59,Matches,Celta-Vigo,12.0
17,Iván Villar,es ESP,GK,27-123,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Celta-Vigo,4.0
18,Carlos Dominguez,es ESP,DF,23-272,,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Celta-Vigo,6.0
19,Sergio Carreira,es ESP,"MF,DF",24-027,,3,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,6.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.31,0.32,0.01,0.32,Matches,Celta-Vigo,4.0
20,Alfon,es ESP,"FW,MF",25-189,,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,0.8,1.7,13.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.38,0.33,0.71,0.38,0.71,Matches,Celta-Vigo,6.0
21,Pablo Durán,es ESP,"FW,MF",23-168,,2,185.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,4.0,2.0,16.0,0.0,0.49,0.49,0.0,0.49,0.06,0.17,0.22,0.06,0.22,Matches,Celta-Vigo,5.0
22,Mihailo Ristić,rs SRB,MF,29-009,,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Celta-Vigo,1.0
23,Franco Cervi,ar ARG,DF,30-167,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Celta-Vigo,1.0
24,Joseph Aidoo,gh GHA,DF,29-041,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Celta-Vigo,1.0
25,Tadeo Allende,ar ARG,FW,25-263,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Celta-Vigo,1.0
26,César Fernández,es ESP,GK,20-286,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Celta-Vigo,0.0
27,Fer López,,MF,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Celta-Vigo,0.0
28,Marc Vidal,es ESP,GK,24-269,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Celta-Vigo,0.0
29,Squad Total,,,27.3,,132,1080.0,12.0,17.0,12.0,29.0,16.0,1.0,2.0,29.0,3.0,17.0,15.5,13.0,28.5,224.0,506.0,504.0,1.42,1.0,2.42,1.33,2.33,1.42,1.08,2.5,1.29,2.37,,Celta-Vigo,12.0
30,Opponent Total,,,27.1,,132,1080.0,12.0,18.0,16.0,34.0,18.0,0.0,1.0,28.0,2.0,13.7,12.8,10.5,23.3,193.0,444.0,435.0,1.5,1.33,2.83,1.5,2.83,1.14,0.88,2.02,1.06,1.94,,Celta-Vigo,12.0
0,Álex Remiro,es ESP,GK,29-230,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,12.0
1,Martín Zubimendi,es ESP,MF,25-281,,11,1035.0,11.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.6,1.8,22.0,89.0,21.0,0.09,0.09,0.17,0.09,0.17,0.1,0.06,0.16,0.1,0.16,Matches,Real-Sociedad,12.0
2,Sergio Gómez,es ESP,"MF,DF",24-066,,11,957.0,10.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,4.5,4.7,20.0,44.0,57.0,0.0,0.28,0.28,0.0,0.28,0.02,0.42,0.44,0.02,0.44,Matches,Real-Sociedad,12.0
3,Igor Zubeldia,es ESP,DF,27-224,,10,845.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.4,8.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Real-Sociedad,10.0
4,Mikel Oyarzabal,es ESP,"FW,MF",27-202,,9,642.0,7.1,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.2,1.4,0.7,2.1,8.0,8.0,45.0,0.28,0.14,0.42,0.14,0.28,0.31,0.1,0.41,0.2,0.3,Matches,Real-Sociedad,10.0
5,Takefusa Kubo,jp JPN,"MF,FW",23-158,,8,779.0,8.7,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,1.4,3.0,51.0,44.0,86.0,0.35,0.0,0.35,0.35,0.35,0.19,0.16,0.35,0.19,0.35,Matches,Real-Sociedad,12.0
6,Nayef Aguerd,ma MAR,DF,28-224,,8,694.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9,1.9,0.0,1.9,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.25,0.24,0.25,Matches,Real-Sociedad,8.0
7,Jon Aramburu,ve VEN,DF,22-109,,8,694.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.4,0.6,12.0,34.0,19.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,Matches,Real-Sociedad,10.0
8,Luka Sučić,hr CRO,MF,22-062,,8,645.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,11.0,31.0,20.0,0.14,0.0,0.14,0.14,0.14,0.14,0.08,0.22,0.14,0.22,Matches,Real-Sociedad,9.0
9,Javi López,es ESP,DF,22-229,,7,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,15.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.01,0.05,Matches,Real-Sociedad,9.0
10,Brais Méndez,es ESP,MF,27-307,,7,571.0,6.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,1.4,2.8,16.0,33.0,34.0,0.16,0.16,0.32,0.16,0.32,0.22,0.23,0.44,0.22,0.44,Matches,Real-Sociedad,9.0
11,Sheraldo Becker,sr SUR,"FW,MF",29-274,,6,539.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,25.0,14.0,59.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.2,0.13,0.2,Matches,Real-Sociedad,11.0
12,Beñat Turrientes,es ESP,MF,22-283,,5,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,10.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Real-Sociedad,10.0
13,Ander Barrenetxea,es ESP,MF,22-318,,4,407.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.8,1.7,21.0,15.0,56.0,0.0,0.22,0.22,0.0,0.22,0.2,0.17,0.36,0.2,0.36,Matches,Real-Sociedad,8.0
14,Jon Pacheco,es ESP,DF,23-306,,4,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Real-Sociedad,6.0
15,Hamari Traoré,ml MLI,DF,32-287,,4,311.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.0,11.0,7.0,0.0,0.29,0.29,0.0,0.29,0.0,0.05,0.05,0.0,0.05,Matches,Real-Sociedad,4.0
16,Orri Steinn Óskarsson,is ISL,FW,20-072,,3,294.0,3.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,2.7,1.0,3.0,17.0,0.61,0.0,0.61,0.61,0.61,0.83,0.0,0.83,0.83,0.83,Matches,Real-Sociedad,8.0
17,Aritz Elustondo,es ESP,DF,30-226,,3,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.11,0.08,0.11,Matches,Real-Sociedad,4.0
18,Umar Sadiq,ng NGA,FW,27-281,,2,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,5.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16,Matches,Real-Sociedad,6.0
19,Aihen Muñoz,es ESP,DF,27-085,,1,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,6.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,Real-Sociedad,4.0
20,Urko González,es ESP,MF,23-234,,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,1.0
21,Jon Martin,es ESP,DF,18-313,,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Real-Sociedad,2.0
22,Olasagasti,es ESP,MF,24-085,,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Real-Sociedad,4.0
23,Pablo Marín,es ESP,MF,21-129,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,3.0
24,Álvaro Odriozola,es ESP,DF,28-331,,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,2.0
25,Jon Magunacelaya,es ESP,MF,24-119,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,2.0
26,Egoitz Arana,es ESP,GK,22-264,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
27,Aitor Fraga,es ESP,GK,21-242,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
28,Unai Marrero,es ESP,GK,23-031,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
29,Squad Total,,,25.8,,132,1080.0,12.0,10.0,8.0,18.0,9.0,1.0,1.0,23.0,1.0,15.0,14.2,12.0,26.2,256.0,494.0,488.0,0.83,0.67,1.5,0.75,1.42,1.25,1.0,2.25,1.18,2.18,,Real-Sociedad,12.0
30,Opponent Total,,,27.2,,132,1080.0,12.0,10.0,5.0,15.0,6.0,4.0,4.0,27.0,0.0,13.1,10.0,6.8,16.8,155.0,302.0,299.0,0.83,0.42,1.25,0.5,0.92,1.09,0.57,1.66,0.83,1.4,,Real-Sociedad,12.0
0,Paulo Gazzaniga,ar ARG,GK,32-312,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,12.0
1,Miguel Gutiérrez,es ESP,DF,23-105,,11,990.0,11.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,2.8,3.6,21.0,48.0,70.0,0.09,0.18,0.27,0.09,0.27,0.07,0.26,0.33,0.07,0.33,Matches,Girona,11.0
2,David López,es ESP,DF,35-031,,10,937.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,6.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Girona,11.0
3,Daley Blind,nl NED,DF,34-245,,9,798.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,16.0,86.0,11.0,0.0,0.11,0.11,0.0,0.11,0.01,0.07,0.08,0.01,0.08,Matches,Girona,10.0
4,Iván Martín,es ESP,MF,25-269,,9,743.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.2,17.0,47.0,25.0,0.12,0.0,0.12,0.12,0.12,0.08,0.07,0.15,0.08,0.15,Matches,Girona,9.0
5,Yangel Herrera,ve VEN,MF,26-300,,9,728.0,8.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.4,1.9,9.0,48.0,29.0,0.12,0.12,0.25,0.12,0.25,0.19,0.05,0.24,0.19,0.24,Matches,Girona,10.0
6,Abel Ruiz,es ESP,FW,24-286,,9,656.0,7.3,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.1,1.3,0.0,1.3,11.0,11.0,36.0,0.27,0.0,0.27,0.14,0.14,0.28,0.01,0.29,0.17,0.18,Matches,Girona,9.0
7,Arnau Martinez,es ESP,"DF,FW",21-198,,7,636.0,7.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,1.3,4.0,52.0,32.0,0.14,0.14,0.28,0.14,0.28,0.05,0.13,0.18,0.05,0.18,Matches,Girona,9.0
8,Bryan Gil,es ESP,"FW,MF",23-272,,7,610.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.9,2.2,21.0,25.0,78.0,0.15,0.0,0.15,0.15,0.15,0.2,0.13,0.33,0.2,0.33,Matches,Girona,10.0
9,Alejandro Francés,es ESP,DF,22-100,,7,556.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,9.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Girona,8.0
10,Arnaut Danjuma,nl NED,"FW,MF",27-283,,6,510.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4,1.4,36.0,18.0,69.0,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.24,0.17,0.24,Matches,Girona,8.0
11,Viktor Tsyhankov,ua UKR,"MF,FW",26-360,,6,440.0,4.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,11.0,21.0,58.0,0.2,0.2,0.41,0.2,0.41,0.16,0.17,0.33,0.16,0.33,Matches,Girona,6.0
12,Ladislav Krejčí,cz CZE,DF,25-203,,5,460.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Girona,6.0
13,Bojan Miovski,mk MKD,FW,25-138,,5,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,Matches,Girona,6.0
14,Oriol Romeu,es ESP,MF,33-046,,5,333.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,4.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Girona,7.0
15,Donny van de Beek,nl NED,MF,27-205,,4,449.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.2,1.4,5.0,13.0,26.0,0.0,0.2,0.2,0.0,0.2,0.04,0.24,0.28,0.04,0.28,Matches,Girona,8.0
16,Yaser Asprilla,co COL,"FW,MF",20-356,,3,340.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,19.0,31.0,42.0,0.26,0.0,0.26,0.26,0.26,0.16,0.14,0.29,0.16,0.29,Matches,Girona,6.0
17,Jhon Solis,co COL,MF,20-037,,2,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Girona,6.0
18,Juanpe,es ESP,DF,33-193,,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Girona,3.0
19,Silvi Clúa,es ESP,MF,19-285,,2,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Girona,2.0
20,Gabriel Osei Misehouy,nl NED,"FW,MF",19-114,,1,188.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.1,4.0,13.0,13.0,0.48,0.0,0.48,0.48,0.48,0.42,0.12,0.54,0.42,0.54,Matches,Girona,6.0
21,Portu,es ESP,"FW,MF",32-172,,1,165.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,1.0,4.0,18.0,0.0,0.55,0.55,0.0,0.55,0.03,0.22,0.24,0.03,0.24,Matches,Girona,6.0
22,Cristhian Stuani,uy URU,FW,38-028,,0,158.0,1.8,4.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,4.3,2.8,0.0,2.8,1.0,0.0,7.0,2.28,0.0,2.28,1.14,1.14,2.43,0.0,2.43,1.58,1.58,Matches,Girona,8.0
23,Iker Almena,es ESP,"FW,DF",20-189,,0,48.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,6.0,2.0,10.0,0.0,1.87,1.87,0.0,1.87,0.06,1.27,1.33,0.06,1.33,Matches,Girona,2.0
24,Papa Ba,es ESP,MF,20-058,,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Girona,1.0
25,Kim Minsu,kr KOR,MF,18-295,,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,2.0
26,Juan Carlos,es ESP,GK,36-294,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
27,Aleksandar Andreev,bg BUL,GK,18-229,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
28,Dawda Camara,mr MTN,FW,22-005,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
29,Enric García,es ESP,MF,18-255,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
30,Lucas García,es ESP,GK,20-313,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
31,Pau López,es ESP,GK,29-332,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
32,Raúl Martínez,es ESP,MF,22-260,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
33,Joel Roca,es ESP,FW,19-155,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
34,Ferrán Ruiz,es ESP,DF,21-197,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
35,Toni Villa,es ESP,"FW,MF",29-307,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
36,Squad Total,,,27.3,,132,1080.0,12.0,14.0,9.0,23.0,11.0,3.0,3.0,26.0,1.0,15.9,13.6,10.8,24.4,218.0,574.0,571.0,1.17,0.75,1.92,0.92,1.67,1.32,0.9,2.22,1.13,2.03,,Girona,12.0
37,Opponent Total,,,27.2,,132,1080.0,12.0,17.0,15.0,32.0,17.0,0.0,2.0,28.0,2.0,12.9,11.3,9.5,20.8,182.0,349.0,344.0,1.42,1.25,2.67,1.42,2.67,1.08,0.79,1.87,0.94,1.73,,Girona,12.0
0,Carmona,es ESP,DF,22-284,,12,1060.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,0.9,9.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,Matches,Sevilla,12.0
1,Ørjan Nyland,no NOR,GK,34-059,,11,963.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Sevilla,11.0
2,Dodi Lukebakio,be BEL,FW,27-045,,11,929.0,10.3,5.0,0.0,5.0,4.0,1.0,1.0,1.0,0.0,3.6,2.8,0.8,3.6,54.0,17.0,59.0,0.48,0.0,0.48,0.39,0.39,0.35,0.08,0.43,0.27,0.35,Matches,Sevilla,12.0
3,Nemanja Gudelj,rs SRB,"MF,DF",32-358,,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.3,3.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Sevilla,10.0
4,Adrià Pedrosa,es ESP,"DF,MF",26-179,,9,774.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.6,0.8,10.0,26.0,29.0,0.0,0.12,0.12,0.0,0.12,0.03,0.06,0.1,0.03,0.1,Matches,Sevilla,10.0
5,Isaac Romero,es ESP,FW,24-174,,9,708.0,7.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,0.6,2.4,6.0,8.0,28.0,0.0,0.13,0.13,0.0,0.13,0.22,0.08,0.3,0.22,0.3,Matches,Sevilla,10.0
6,Loïc Bade,fr FRA,DF,24-211,,8,741.0,8.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,0.0,6.0,1.0,0.0,0.12,0.12,0.0,0.12,0.02,0.07,0.09,0.02,0.09,Matches,Sevilla,9.0
7,Lucien Agoume,fr FRA,MF,22-273,,7,606.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,9.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Sevilla,11.0
8,Chidera Ejuke,ng NGA,"FW,MF",26-311,,6,543.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,1.9,50.0,23.0,61.0,0.17,0.0,0.17,0.17,0.17,0.11,0.21,0.32,0.11,0.32,Matches,Sevilla,9.0
